,,,,,,,,,,,            Production            ,,,,,,,             Inventory             ,,,,,,,                                              Cards                                              ,,,,,,                        Tiles on Mars                        ,,,,,,   Terraforming    ,,,,,                                                           Other effects                                                           ,,,,,,,,
XC7,AstroDrill,9,2 Action,A,109,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,1,asteroid,any,,,,,,,0,,,,,0,,,,,,,,Add 1 asteroid to ANY CARD.,#REF!
XC7,AstroDrill,9,2 Action,B,110,X4 Pro/bigbox,,,,,,,,,,,,,,3,,,,,,,-1,asteroid,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 asteroid here to gain 3 titanium.,#REF!
XC7,AstroDrill,9,2 Action,C,111,X4 Pro/bigbox,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€.,#REF!
XC7,AstroDrill,9,2 Action,D,112,X4 Pro/bigbox,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 steel.,#REF!
XC7,AstroDrill,9,2 Action,E,113,X4 Pro/bigbox,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 titanium.,#REF!
XC7,AstroDrill,9,2 Action,F,114,X4 Pro/bigbox,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 plant.,#REF!
XC7,AstroDrill,9,2 Action,G,115,X4 Pro/bigbox,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 energy.,#REF!
XC7,AstroDrill,9,2 Action,H,116,X4 Pro/bigbox,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 heat.,#REF!
XC8,Pharmacy Union,4,0 Immediate,,117,X4 Pro/bigbox,,,,,,,,,,,,54,,,,,,,1,has science tag,,,,,,,,,,0,,,,,0,,,,,,,,Gain 54 M€ and draw a science card.,#REF!
XC8,Pharmacy Union,4,4 Effect/Trigger,A,118,X4 Pro/bigbox,science tag,,,←,,,,,,,,,,,,,,,,,-1,disease,here,,,,,,,0,,,,1,1,,,,,,,,"When ANY microbe tag is played, including these 2, add a disease here and lose 4 M€ or as much as possible.",#REF!
XC8,Pharmacy Union,4,4 Effect/Trigger,B,119,X4 Pro/bigbox,science tag,max 0 diseases here,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,3,,,,,,move this card to event pile,,"When you play a science tag, remove 1 disease here to increase your TR 1 step.",#REF!
XC8,Pharmacy Union,4,4 Effect/Trigger,,120,X4 Pro/bigbox,ANY microbe tag,,,←,,,,,,,,-4,,,,,,,,,1,disease,here,,,,,,,0,,,,,0,,,,,,pay only what you can,,"Requires you have no disease resources here: When you play a science tag, you may raise your TR 3 steps and place this card in your event pile.",#REF!
P01,Allied Bank,1,0 Immediate,,121,5 Prelude,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 4 steps. Gain 3 M€.,#REF!
P02,Aquifer Turbines,1,0 Immediate,,122,5 Prelude,,,,,,,,,2,,,-3,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place an ocean tile. Increase your energy production 2 steps. Lose 3 M€.,#REF!
P03,Biofuels,1,0 Immediate,,123,5 Prelude,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production and energy production 1 step each. Gain 2 plants.,#REF!
P04,Biolab,1,0 Immediate,,124,5 Prelude,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step. Draw 3 cards.,#REF!
P05,Biosphere Support,1,0 Immediate,,125,5 Prelude,,,,,-1,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step. Increase your plant production 2 steps.,#REF!
P06,Business Empire,1,0 Immediate,,126,5 Prelude,,,,,6,,,,,,,-6,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 6 steps. Lose 6 M€.,#REF!
P07,Dome Farming,1,0 Immediate,,127,5 Prelude,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step. Increase your M€ production 2 steps.,#REF!
P08,Donation,1,0 Immediate,,128,5 Prelude,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 21 M€.,#REF!
P09,Early Settlement,1,0 Immediate,,129,5 Prelude,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Place a city tile. Increase your plant production 1 step.,#REF!
P10,Ecology Experts,1,0 Immediate,,130,5 Prelude,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,"play a card now, ignoring global requirements",,"Increase your plant production 1 step. PLAY A CARD FROM HAND, IGNORING GLOBAL REQUIREMENTS",#REF!
P11,Excentric Sponsor,1,0 Immediate,,131,5 Prelude,,this money is a discount on the card you play now,,←,,,,,,,,25,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,"play a card now, discounted",,"PLAY A CARD FROM HAND, REDUCING ITS COST BY 25 M€",#REF!
P12,Experimental Forest,1,0 Immediate,,132,5 Prelude,,,,,,,,,,,,,,,,,,,2,has plant tag,,,,,,,1,,,1,,,,,1,,,,,,,,"Place a greenery tile and increase oxygen 1 step. Reveal cards from the deck until you have revealed 2 plant-tag cards. Take these into your hand, and discard the rest.",#REF!
P13,Galilean Mining,1,0 Immediate,,133,5 Prelude,,,,,,,2,,,,,-5,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 2 steps. Lose 5 M€.,#REF!
P14,Great Aquifer,1,0 Immediate,,134,5 Prelude,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,,,,,Place 2 ocean tiles.,#REF!
P15,Huge Asteroid,1,0 Immediate,,135,5 Prelude,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,0,3,,,,3,,,,,,,,Raise temperature 3 steps. Lose 5 M€.,#REF!
P16,Io Research Outpost,1,0 Immediate,,136,5 Prelude,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step. Draw 1 card.,#REF!
P17,Loan,1,0 Immediate,,137,5 Prelude,,,,,-2,,,,,,,30,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 2 steps. Gain 30 M€.,#REF!
P18,Martian Industries,1,0 Immediate,,138,5 Prelude,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production and steel production 1 step each. Gain 6 M€.,#REF!
P19,Metal-Rich Asteroid,1,0 Immediate,,139,5 Prelude,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,0,1,,,,1,,,,,,,,"Raise temperature 1 step. Gain 4 titanium, and 4 steel.",#REF!
P20,Metals Company,1,0 Immediate,,140,5 Prelude,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production, steel production, and titanium production 1 step each.",#REF!
P21,Mining Operations,1,0 Immediate,,141,5 Prelude,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your steel production 2 steps. Gain 4 steel.,#REF!
P22,Mohole,1,0 Immediate,,142,5 Prelude,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increse your heat production 3 steps. Gain 3 heat.,#REF!
P23,Mohole Excavation,1,0 Immediate,,143,5 Prelude,,,,,,1,,,,2,,,,,,,2,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your steel production 1 step, and your heat production 2 steps. Gain 2 heat.",#REF!
P24,Nitrogen Shipment,1,0 Immediate,,144,5 Prelude,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Raise your TR 1 step. Increase your plant production 1 step. Gain 5 M€.,#REF!
P25,Orbital Construction Yard,1,0 Immediate,,145,5 Prelude,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step. Gain 4 titanium.,#REF!
P26,Polar Industries,1,0 Immediate,,146,5 Prelude,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place 1 ocean tile. Increase your heat production 2 steps.,#REF!
P27,Power Generation,1,0 Immediate,,147,5 Prelude,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 3 steps.,#REF!
P28,Research Network,1,0 Immediate,,148,5 Prelude,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,0,,,,,0,,,,,,,,"Draw 3 cards, and increase your M€ production 1 step. After being played, when you perform an action, the wild tag is any tag of your choice.",#REF!
P29,Self-Sufficient Settlement,1,0 Immediate,,149,5 Prelude,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Place a city tile. Increase your M€ production 2 steps.,#REF!
P30,Smelting Plant,1,0 Immediate,,150,5 Prelude,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,0,,2,,,2,,,,,,,,Raise oxygen 2 steps. Gain 5 steel.,#REF!
P31,Society Support,1,0 Immediate,,151,5 Prelude,,,,,-1,,,1,1,1,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Decrease your M€ production  1 step. Increase your plant production, energy production, and heat production 1 step each.",#REF!
P32,Supplier,1,0 Immediate,,152,5 Prelude,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 2 steps. Gain 4 steel.,#REF!
P33,Supply Drop,1,0 Immediate,,153,5 Prelude,,,,,,,,,,,,,8,3,3,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Gain 3 titanium, 8 steeel, and 3 plants.",#REF!
P34,UNMI Contractor,1,0 Immediate,,154,5 Prelude,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,3,3,,,,,,,,Raise your TR 3 steps. Draw 1 card.,#REF!
P35,Acquired Space Agency,1,0 Immediate,,155,5 Prelude,,,,,,,,,,,,,,6,,,,,2,has space tag,,,,,,,,,,0,,,,,0,,,,,,,,"Gain 6 titanium. Reveal cards from the deck until you have revealed 2 space cards. Take those into hand, and discard the rest.",#REF!
003,Deep Well Heating,1,0 Immediate,,156,0 Base,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,,,,1,,,,,,,,Increase your energy production 1 step. Raise temperature 1 step.,#REF!
004,Cloud Seeding,2,0 Immediate,,157,0 Base,,,,,-1,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step. Increase your plant production 2 steps.,#REF!
004,Cloud Seeding,2,1 Immediate/Attack,,158,0 Base,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's heat production 1 step.,#REF!
005,Search For Life,1,2 Action,,159,0 Base,,get resource IF you flip a microbe tag,,←,,,,,,,,-1,,,,,,,,,1,science,here,,,,,,,0,,,,,0,,,,,,,,"Spend 1 M€ to reveal and discard the top card of the draw deck. If that card has a microbe tag, add a science resource here.",#REF!
007,Martian Rails,1,2 Action,,160,0 Base,,,ANY city on Mars,←,,,,,,,,N,,,,-1,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 1 energy to gain 1 M€ per ANY city tile ON MARS.,#REF!
008,Capital,1,0 Immediate,,161,0 Base,,,,,5,,,,-2,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Place this city tile. Decrease your energy production 2 steps and increase your M€ production 5 steps.,#REF!
009,Asteroid,2,0 Immediate,,162,0 Base,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,1,,,,1,,,,,,,,Raise temperature 1 step and gain 2 titanium.,#REF!
009,Asteroid,2,1 Immediate/Attack,,163,0 Base,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 3 plants from any player.,#REF!
010,Comet,2,0 Immediate,,164,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,2,,,,,,,,Raise temperature 1 step and place an ocean tile.,#REF!
010,Comet,2,1 Immediate/Attack,,165,0 Base,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 3 plants from any player.,#REF!
011,Big Asteroid,2,0 Immediate,,166,0 Base,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0,2,,,,2,,,,,,,,Raise temperature 2 steps and gain 4 titanium.,#REF!
011,Big Asteroid,2,1 Immediate/Attack,,167,0 Base,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 4 plants from any player.,#REF!
012,Water Import From Europa,1,2 Action,,168,0 Base,,,,,,,,,,,,-12,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,may use titanium,,Spend 12 M€ (titanium may be used) to place an ocean tile.,#REF!
015,Equatorial Magnetizer,1,2 Action,,169,0 Base,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Decrease your energy production 1 step to increase your TR 1 step.,#REF!
016,Domed Crater,1,0 Immediate,,170,0 Base,,,,,3,,,,-1,,,,,,3,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Gain 3 plants and place a city tile. Decrease your energy production 1 step and increase M€ production 3 steps.,#REF!
017,Noctis City,1,0 Immediate,,171,0 Base,,,,,3,,,,-1,,,,,,,,,,,,,,,,1,,,,"reserved area, can break rules",1,,,,,0,,,,,,,,"Decrease your energy production 1 step and increase your M€ production 3 steps. Place a city tile ON THE RESERVED AREA, disregarding normal placement restrictions.",#REF!
018,Methane From Titan,1,0 Immediate,,172,0 Base,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 2 steps and your plant production 2 steps.,#REF!
019,Imported Hydrogen,3,0 Immediate,A,173,0 Base,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Gain 3 plants. Place an ocean tile.,#REF!
019,Imported Hydrogen,3,0 Immediate,B,174,0 Base,,,,,,,,,,,,,,,,,,,,,3,microbe,any,,,,,1,,1,,,,,1,,,,,,,,Add 3 microbes to ANOTHER card. Place an ocean tile.,#REF!
019,Imported Hydrogen,3,0 Immediate,C,175,0 Base,,,,,,,,,,,,,,,,,,,,,2,animal,any,,,,,1,,1,,,,,1,,,,,,,,Add 2 animals to ANOTHER card. Place an ocean tile.,#REF!
020,Research Outpost,2,0 Immediate,,176,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,touching no tile,1,,,,,0,,,,,,,,Place a city tile ADJACENT TO NO OTHER TILE.,#REF!
020,Research Outpost,2,5 Effect/Discount,,177,0 Base,play card,,,←,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 1 M€ less.,#REF!
021,Phobos Space Haven,1,0 Immediate,,178,0 Base,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,Increase your titanium production 1 step and place a city tile ON THE RESERVED AREA.,#REF!
022,Black Polar Dust,1,0 Immediate,,179,0 Base,,,,,-2,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place an ocean tile. Decrease your M€ production 2 steps and increase your heat production 3 steps.,#REF!
023,Arctic Algae,2,0 Immediate,,180,0 Base,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 plant.,#REF!
023,Arctic Algae,2,4 Effect/Trigger,,181,0 Base,ANY ocean tile,,,←,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When an ocean tile is placed, gain 2 plants.",#REF!
024,Predators,1,2 Action,,182,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,remove animal from any player,,Remove 1 animal from any player's card to add 1 animal to this card.,#REF!
026,Eos Chasma National Park,1,0 Immediate,,183,0 Base,,,,,2,,,,,,,,,,3,,,,,,1,animal,any,,,,,,,0,,,,,0,,,,,,,,Add 1 animal TO ANOTHER CARD. Gain 3 plants. Increase your M€ production 2 steps.,#REF!
029,Cupola City,1,0 Immediate,,184,0 Base,,,,,3,,,,-1,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Place a city tile. Decrease your energy production 1 step and increase your M€ production 3 steps.,#REF!
030,Lunar Beam,1,0 Immediate,,185,0 Base,,,,,-2,,,,2,2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 2 steps and increase your heat production and energy production 2 steps each.,#REF!
031,Optimal Aerobraking,1,4 Effect/Trigger,,186,0 Base,play event card,has space tag,,←,,,,,,,,3,,,,,3,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a space event, gain 3 M€ and 3 heat.",#REF!
032,Underground City,1,0 Immediate,,187,0 Base,,,,,,2,,,-2,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Place a city tile. Decrease your energy production 2 steps and increase your steel production 2 steps.,#REF!
033,Regolith Eaters,2,2 Action,A,188,0 Base,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to this card.,#REF!
033,Regolith Eaters,2,2 Action,B,189,0 Base,,,,,,,,,,,,,,,,,,,,,-2,microbe,here,,,,,,,0,,1,,,1,,,,,,,,Spend 2 microbes here to raise oxygen 1 step.,#REF!
034,GHG Producing Bacteria,2,2 Action,A,190,0 Base,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to this card.,#REF!
034,GHG Producing Bacteria,2,2 Action,B,191,0 Base,,,,,,,,,,,,,,,,,,,,,-2,microbe,here,,,,,,,0,1,,,,1,,,,,,,,Spend 2 microbes here to raise temperature 1 step.,#REF!
035,Ants,1,2 Action,,192,0 Base,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,remove microbe from any player,,Remove 1 microbe from any player's card to add 1 microbe to this card.,#REF!
036,Release Of Inert Gases,1,0 Immediate,,193,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,2,,,,,,,,Raise your TR 2 steps.,#REF!
037,Nitrogen-Rich Asteroid,2,0 Immediate,A,194,0 Base,,max 2 plant tags,,←,,,,1,,,,,,,,,,,,,,,,,,,,,,0,1,,,2,3,,,,,,,,"Raise your TR 2 steps and temperature 1 step. Increase your plant production 1 step,.",#REF!
037,Nitrogen-Rich Asteroid,2,0 Immediate,B,195,0 Base,,3 plant tags,,←,,,,4,,,,,,,,,,,,,,,,,,,,,,0,1,,,2,3,,,,,,,,Requires 3 plant tags: Raise your TR 2 steps and temperature 1 step. Increase your plant production 4 steps.,#REF!
038,Rover Construction,1,4 Effect/Trigger,,196,0 Base,ANY city,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY city tile is placed, gain 2 M€.",#REF!
039,Deimos Down,2,0 Immediate,,197,0 Base,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0,3,,,,3,,,,,,,,Raise temperature 3 steps and gain 4 steel.,#REF!
039,Deimos Down,2,1 Immediate/Attack,,198,0 Base,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 8 plants from any player.,#REF!
040,Asteroid Mining,1,0 Immediate,,199,0 Base,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 2 steps.,#REF!
041,Food Factory,1,0 Immediate,,200,0 Base,,,,,4,,,-1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your plant production 1 step and increase your M€ production 4 steps.,#REF!
042,Archaebacteria,1,0 Immediate,,201,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step.,#REF!
043,Carbonate Processing,1,0 Immediate,,202,0 Base,,,,,,,,,-1,3,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your heat production 3 steps.,#REF!
044,Natural Preserve,1,0 Immediate,,203,0 Base,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,touching no tile,1,,,,,0,,,,,,,,Place this tile ADJACENT TO NO OTHER TILE. Increase your M€ production 1 step.,#REF!
045,Nuclear Power,1,0 Immediate,,204,0 Base,,,,,-2,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 2 steps and increase your energy production 3 steps.,#REF!
047,Algae,1,0 Immediate,,205,0 Base,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 plant and increase your plant production 2 steps.,#REF!
048,Adapted Lichen,1,0 Immediate,,206,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step.,#REF!
052,Fish,2,1 Immediate/Attack,,207,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's plant production 1 step.,#REF!
052,Fish,2,2 Action,,208,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
053,Lake Marineris,1,0 Immediate,,209,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,,,,,Place 2 ocean tiles.,#REF!
054,Small Animals,2,1 Immediate/Attack,,210,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's plant production 1 step.,#REF!
054,Small Animals,2,2 Action,,211,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
055,Kelp Farming,1,0 Immediate,,212,0 Base,,,,,2,,,3,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps and your plant production 3 steps. Gain 2 plants.,#REF!
058,Beam From A Thorium Asteroid,1,0 Immediate,,213,0 Base,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production and energy production 3 steps each.,#REF!
059,Mangrove,1,0 Immediate,,214,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"ocean area, can break rules",1,,,,,1,,,,,,,,Place a Greenery tile ON AN AREA RESERVED FOR OCEAN and raise oxygen 1 step. Disregard normal placement restrictions for this.,#REF!
060,Trees,1,0 Immediate,,215,0 Base,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 3 steps. Gain 1 plant.,#REF!
063,Mining Expedition,2,0 Immediate,,216,0 Base,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,1,,,1,,,,,,,,Raise oxygen 1 step. Gain 2 steel.,#REF!
063,Mining Expedition,2,1 Immediate/Attack,,217,0 Base,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 2 plants from any player. ,#REF!
067,Mining Rights,2,0 Immediate,A,218,0 Base,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,area with S bonus,1,,,,,0,,,,,,,,Place this tile on an area with a steel or titanium placement bonus. Increase that production 1 step.,#REF!
067,Mining Rights,2,0 Immediate,B,219,0 Base,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,area with T bonus,1,,,,,0,,,,,,,,Place this tile on an area with a steel or titanium placement bonus. Increase that production 1 step.,#REF!
072,Birds,2,1 Immediate/Attack,,220,0 Base,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's plant production 2 steps.,#REF!
072,Birds,2,2 Action,,221,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add an animal to this card.,#REF!
075,Towing A Comet,1,0 Immediate,,222,0 Base,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,,1,,,2,,,,,,,,Gain 2 plants. Raise oxygen 1 step and place an ocean tile.,#REF!
076,Space Mirrors,1,2 Action,,223,0 Base,,,,,,,,,1,,,-7,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 7 M€ to increase your energy production 1 step.,#REF!
077,Solar Wind Power,1,0 Immediate,,224,0 Base,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step and gain 2 titanium.,#REF!
078,Ice Asteroid,1,0 Immediate,,225,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,,,,,Place 2 ocean tiles.,#REF!
080,Giant Ice Asteroid,2,0 Immediate,,226,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,,4,,,,,,,,Raise temperature 2 steps and place 2 ocean tiles.,#REF!
080,Giant Ice Asteroid,2,1 Immediate/Attack,,227,0 Base,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 6 plants from any player.,#REF!
081,Ganymede Colony,1,0 Immediate,,228,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,Place a city tile ON THE RESERVED AREA.,#REF!
083,Giant Space Mirror,1,0 Immediate,,229,0 Base,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 3 steps.,#REF!
087,Grass,1,0 Immediate,,230,0 Base,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step. Gain 3 plants.,#REF!
088,Heather,1,0 Immediate,,231,0 Base,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step. Gain 1 plant.,#REF!
089,Peroxide Power,1,0 Immediate,,232,0 Base,,,,,-1,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step and increase your energy production 2 steps.,#REF!
093,Bushes,1,0 Immediate,,233,0 Base,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 2 steps. Gain 2 plants.,#REF!
096,Greenhouses,1,0 Immediate,,234,0 Base,,,ANY cities,←,,,,,,,,,,,N,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 plant per ANY city tile in play.,#REF!
097,Nuclear Zone,1,0 Immediate,,235,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,2,,,,,,,,Raise temperature 2 steps. Place this tile.,#REF!
100,Fueled Generators,1,0 Immediate,,236,0 Base,,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step and increase your energy production 1 step.,#REF!
101,Ironworks,1,2 Action,,237,0 Base,,,,,,,,,,,,,1,,,-4,,,,,,,,,,,,,,0,,1,,,1,,,,,,,,Spend 4 energy to gain 1 steel and raise oxygen 1 step.,#REF!
102,Power Grid,1,0 Immediate,,238,0 Base,,,power tags,←,,,,,N,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your energy production 1 step for each power tag you have, including this.)",#REF!
